C1,C1_NM,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
00030005,울산,지역별,0001,전체,규모별,438.4462195,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0001,전체,규모별,7737.365854,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0001,전체,규모별,456.5326829,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0002,40㎡이하,규모별,4330,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0002,40㎡이하,규모별,315.75,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0002,40㎡이하,규모별,4800,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0002,40㎡이하,규모별,330,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0003,40㎡초과,규모별,11437.5,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0003,40㎡초과,규모별,532.9583333,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0003,40㎡초과,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030005,울산,지역별,0003,40㎡초과,규모별,554,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030006,세종,지역별,0001,전체,규모별,3253.341584,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030006,세종,지역별,0001,전체,규모별,356.5957769,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030006,세종,지역별,0001,전체,규모별,3086.280057,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030006,세종,지역별,0001,전체,규모별,342.1181047,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030006,세종,지역별,0002,40㎡이하,규모별,3125,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
