bjdongCd,block,bun,crtnDay,hjdongCd,ji,jimokCd,jimokCdNm,lot,mainDongGbCd,mainDongGbCdNm,mgmDongOulnPk,mgmPlatPlcPk,platGbCd,platPlc,relJibunNm,reprYn,rnum,sigunguCd,splotNm,mgmPmsrgstPk
10100, ,0053,20110308,510,0031,08,대, ,0,전체,11110-100016142,11110-100013449,0,서울특별시 종로구 청운동 53-31번지, ,1,166,11110, ,
10100, ,0053,20120229,510,0031,08,대, ,0,전체,11110-100019287,11110-100013423,0,서울특별시 종로구 청운동 53-31번지, ,1,167,11110, ,
10100, ,0053,20090326,510,0056,08,대, ,0,전체,11110-3009,11110-2635,0,서울특별시 종로구 청운동 53-56번지, ,1,168,11110, ,
10100, ,0053,20090326,510,0057,08,대, ,0,전체,11110-100005773,11110-4073,0,서울특별시 종로구 청운동 53-57번지, ,1,169,11110, ,
10100, ,0053,20100325,510,0057, , , ,0,전체,11110-7015,11110-6641,0,서울특별시 종로구 청운동 53-57번지, ,1,170,11110, ,
10100, ,0053,20130911,510,0060,08,대, ,0,전체,11110-100024028,11110-100018204,0,서울특별시 종로구 청운동 53-60번지, ,1,171,11110, ,
10100, ,0053,20131026,510,0060,08,대, ,0,전체,11110-100024460,11110-100018469,0,서울특별시 종로구 청운동 53-60번지, ,1,172,11110, ,
10100, ,0053,20150508,515,0060,08,대, ,0,전체,11110-100030448,11110-100022710,0,서울특별시 종로구 청운동 53-60번지, ,1,173,11110, ,
10100, ,0053,20180419,515,0060,08,대, ,0,전체,11110-100043273,11110-100030423,0,서울특별시 종로구 청운동 53-60번지, ,1,174,11110, ,
10100, ,0053,20090610,510,0078,08,대, ,0,전체,11110-100009850,11110-100007235,0,서울특별시 종로구 청운동 53-78번지, ,1,175,11110, ,
10100, ,0053,20100325,510,0083, , , ,0,전체,11110-7062,11110-6688,0,서울특별시 종로구 청운동 53-83번지, ,1,176,11110, ,
